,time,reward,age,days_since_joining,income,gender_F,gender_M,gender_O,min_spend_req,social,mobile,web,duration,discount,type_bogo,type_discount
2,132,5.0,75,1007,100000.0,1,0,0,5,0,1,1,7,5,1,0
5,522,5.0,68,655,70000.0,0,1,0,5,0,1,1,7,5,1,0
10,498,5.0,65,731,53000.0,0,1,0,5,0,1,1,7,5,1,0
19,468,5.0,96,815,89000.0,1,0,0,5,0,1,1,7,5,1,0
21,12,5.0,40,1311,33000.0,0,1,0,5,0,1,1,7,5,1,0
27,348,5.0,69,1275,57000.0,1,0,0,5,0,1,1,7,5,1,0
30,522,5.0,69,1275,57000.0,1,0,0,5,0,1,1,7,5,1,0
33,66,5.0,45,583,33000.0,0,1,0,5,0,1,1,7,5,1,0
39,594,5.0,66,673,38000.0,1,0,0,5,0,1,1,7,5,1,0
42,636,5.0,37,1001,92000.0,0,1,0,5,0,1,1,7,5,1,0
45,156,5.0,73,790,38000.0,0,1,0,5,0,1,1,7,5,1,0
48,366,5.0,73,790,38000.0,0,1,0,5,0,1,1,7,5,1,0
51,510,5.0,75,1534,52000.0,0,1,0,5,0,1,1,7,5,1,0
55,306,5.0,53,1136,117000.0,1,0,0,5,0,1,1,7,5,1,0
61,534,5.0,49,1038,57000.0,1,0,0,5,0,1,1,7,5,1,0
63,576,5.0,61,811,98000.0,0,1,0,5,0,1,1,7,5,1,0
66,342,5.0,19,1213,73000.0,1,0,0,5,0,1,1,7,5,1,0
69,588,5.0,66,724,58000.0,1,0,0,5,0,1,1,7,5,1,0
72,396,5.0,55,792,31000.0,0,1,0,5,0,1,1,7,5,1,0
75,582,5.0,45,1476,44000.0,1,0,0,5,0,1,1,7,5,1,0
78,468,5.0,51,911,56000.0,1,0,0,5,0,1,1,7,5,1,0
81,624,5.0,64,843,37000.0,1,0,0,5,0,1,1,7,5,1,0
85,624,5.0,49,633,79000.0,1,0,0,5,0,1,1,7,5,1,0
88,666,5.0,69,866,87000.0,1,0,0,5,0,1,1,7,5,1,0
94,606,5.0,38,844,64000.0,0,1,0,5,0,1,1,7,5,1,0
96,564,5.0,62,780,77000.0,1,0,0,5,0,1,1,7,5,1,0
99,36,5.0,55,582,51000.0,1,0,0,5,0,1,1,7,5,1,0
101,528,5.0,36,868,57000.0,1,0,0,5,0,1,1,7,5,1,0
103,408,5.0,46,1884,60000.0,0,1,0,5,0,1,1,7,5,1,0
105,258,5.0,51,1061,85000.0,1,0,0,5,0,1,1,7,5,1,0
108,540,5.0,53,1384,85000.0,1,0,0,5,0,1,1,7,5,1,0
111,0,5.0,52,615,72000.0,0,1,0,5,0,1,1,7,5,1,0
115,24,5.0,69,790,64000.0,1,0,0,5,0,1,1,7,5,1,0
117,354,5.0,69,790,64000.0,1,0,0,5,0,1,1,7,5,1,0
120,42,5.0,62,1406,73000.0,0,1,0,5,0,1,1,7,5,1,0
123,258,5.0,62,1406,73000.0,0,1,0,5,0,1,1,7,5,1,0
126,438,5.0,57,1601,58000.0,0,1,0,5,0,1,1,7,5,1,0
129,156,5.0,90,642,45000.0,0,1,0,5,0,1,1,7,5,1,0
132,180,5.0,47,1497,74000.0,1,0,0,5,0,1,1,7,5,1,0
134,480,5.0,60,815,59000.0,1,0,0,5,0,1,1,7,5,1,0
139,588,5.0,71,673,56000.0,1,0,0,5,0,1,1,7,5,1,0
143,342,5.0,77,1452,80000.0,1,0,0,5,0,1,1,7,5,1,0
146,90,5.0,68,1504,66000.0,1,0,0,5,0,1,1,7,5,1,0
148,354,5.0,51,1640,54000.0,0,1,0,5,0,1,1,7,5,1,0
150,522,5.0,32,1586,38000.0,0,1,0,5,0,1,1,7,5,1,0
152,588,5.0,34,1113,34000.0,0,1,0,5,0,1,1,7,5,1,0
155,174,5.0,76,1066,71000.0,1,0,0,5,0,1,1,7,5,1,0
158,618,5.0,51,2057,33000.0,0,1,0,5,0,1,1,7,5,1,0
161,546,5.0,58,877,53000.0,0,1,0,5,0,1,1,7,5,1,0
163,678,5.0,64,1582,95000.0,1,0,0,5,0,1,1,7,5,1,0
166,144,5.0,72,884,39000.0,0,1,0,5,0,1,1,7,5,1,0
